TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
HMOC11;226,95;23,800000;0,00;238,79;0,95;;0,67;122,18;-1,57;91.223.530,50;209,00;Passiva;382.017,00
PEMA11;45,18;0,574300;37,23;77,51;0,58;6.215,33;0,78;;;42.785.285,76;241,00;Ativa;552.000,00
TEPP11;68,00;0,500000;8,38;90,28;0,75;633.552,22;0,25;;;381.155.465,82;7.374,00;Ativa;4.221.967,00
XPLG11;94,29;0,700000;8,27;113,75;0,83;4.252.505,83;1,31;2,33;-2,80;3.082.675.354,63;281.409,00;Ativa;27.101.061,00
CVBI11;99,96;1,500000;13,80;100,05;1,00;2.763.473,87;11,43;27,43;;1.052.112.121,61;60.939,00;Ativa;10.516.005,00
LRDI11;0,00;;0,00;99,62;;;6,61;;;23.099.599,85;14,00;Ativa;231.879,00
GZIT11;0,00;;0,00;91,54;;;3,48;;;1.938.286.794,32;1,00;Ativa;21.173.640,00
RBRY11;101,26;1,250000;12,86;102,43;0,99;1.447.879,61;13,70;16,90;-3,26;401.515.245,72;14.118,00;Ativa;3.919.747,00
RRCI11;86,96;1,300000;14,75;98,15;0,89;77.046,22;6,98;;;47.284.328,37;2.350,00;Ativa;481.757,00
TSER11;104,00;0,870000;10,21;93,79;1,11;578.707,27;2,78;;;113.020.383,03;36,00;Ativa;1.205.000,00
FVBI11;94,97;0,369573;0,00;0,00;;;;142,93;-10,05;0,00;0,00;Passiva;0,00
GRLV11;104,51;0,170000;0,00;5,97;17,51;;2.489,44;135,25;-3,56;6.407.890,29;2.604,00;Passiva;1.073.530,00
FAED11;138,02;1,536892;10,94;216,21;0,64;107.320,61;1,62;-5,47;-17,63;138.843.284,06;4.813,00;Passiva;642.168,00
BRIP11;1.211,99;;0,00;980,04;1,24;25.114,00;4,42;;;167.981.598,24;236,00;Ativa;171.402,00
SIGR11;0,00;;0,00;101,04;;;2,78;;;30.572.002,07;50,00;Ativa;302.580,00
RFOF11;68,66;0,690000;11,19;84,15;0,83;155.160,87;0,20;;;90.726.897,87;6.318,00;Ativa;1.078.164,00
NVIF11B;227,50;0,444576;2,41;254,71;0,89;;13,39;-15,79;;85.940.184,88;7,00;Ativa;337.399,00
EXES11;0,00;;0,00;102,31;;;1,07;;;22.040.102,70;60,00;Ativa;215.435,00
KNCR11;100,74;1,050000;9,20;101,13;1,00;7.458.565,74;18,86;19,05;-0,70;4.036.597.525,47;112.554,00;Ativa;39.916.179,00
RBRS11;58,04;0,600000;9,15;92,12;0,63;43.792,82;4,91;;;138.609.258,54;1.205,00;Ativa;1.504.634,00
RVBI11;74,33;0,750000;12,02;87,50;0,85;218.699,13;0,86;;;126.004.830,90;11.503,00;Ativa;1.440.000,00
HGPO11;255,17;1,350000;6,21;268,21;0,95;600.269,65;2,76;14,50;11,04;470.185.660,24;9.653,00;Passiva;1.753.057,00
IRIM11;103,00;1,454777;12,51;99,68;1,03;263.184,52;5,95;;;171.448.529,01;1.882,00;Ativa;1.720.000,00
LFTT11;93,83;3,668145;11,73;60,31;1,56;233.299,82;29,79;;;440.544.059,78;349,00;Ativa;7.304.543,00
PNDL11;0,00;;0,00;644,93;;;52,76;;;22.214.128,43;46,00;Ativa;34.444,00
AFHI11;99,90;1,400000;14,34;96,42;1,03;784.327,17;16,20;;;225.443.640,46;10.812,00;Ativa;2.338.240,00
HGBS11;170,20;1,400000;7,40;216,52;0,79;1.202.744,04;0,83;-1,41;-12,89;2.165.192.006,43;80.779,00;Ativa;10.000.000,00
CORM11;88,98;0,810000;13,03;90,56;0,98;3.143,45;10,44;;;92.123.992,72;273,00;Ativa;1.017.316,00
BPRP11;102,00;0,866513;9,75;108,56;0,94;907,67;0,06;;;146.537.108,30;192,00;Passiva;1.349.837,00
PLOG11;70,84;0,750000;12,67;100,18;0,70;99.760,74;3,28;;;75.135.829,00;2.472,00;Ativa;750.000,00
LSPA11;107,30;0,750000;7,86;107,38;1,00;2.294.589,00;0,81;;;43.436.722,58;223,00;Ativa;404.500,00
RBDS11;3,24;2,354143;0,00;24,85;0,13;749,09;20,66;18,99;-75,18;3.144.259,43;999,00;Ativa;126.523,00
PBLV11;926,98;36,280000;6,76;1.597,84;0,58;;1,71;;;5.137.603.690,75;2,00;Ativa;3.215.347,00
FIIB11;425,89;3,300000;9,33;456,76;0,93;365.128,57;1,27;10,67;-3,24;312.880.513,96;16.811,00;Passiva;685.000,00
